,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,KineticEnergy,Potential,Energy
103,2.06,0.0,2.0,0.0,0.0,-1.98750474,2.22308627,0.00652212,0.05776196,-3.92026962,1.70888279,-0.27598948,1.11974783,0.66669219,58.13330776,58.79999994
104,2.08,0.0,2.0,0.0,0.0,-1.98758923,2.22233291,-0.01492483,-0.13311359,-3.92586226,1.72929865,-0.28328757,0.921849,0.4739997,58.32600024,58.79999994
105,2.1,0.0,2.0,0.0,0.0,-1.98809639,2.21775941,-0.03560503,-0.32431262,-3.93159865,1.74575793,-0.29026359,0.72411426,0.3575204,58.44247955,58.79999995
106,2.12,0.0,2.0,0.0,0.0,-1.98900112,2.209355,-0.05445805,-0.51630818,-3.93746427,1.75826578,-0.29598801,0.52675481,0.31730967,58.48269029,58.79999996
107,2.14,0.0,2.0,0.0,0.0,-1.99025615,2.19709934,-0.07045718,-0.70950155,-3.94342427,1.76683169,-0.29953407,0.3299511,0.35347252,58.44652745,58.79999998
108,2.16,0.0,2.0,0.0,0.0,-1.99179223,2.18096407,-0.08240738,-0.90430446,-3.94942281,1.77146899,-0.29970041,0.13391195,0.46615514,58.33384485,58.79999999
109,2.18,0.0,2.0,0.0,0.0,-1.99351777,2.16091464,-0.0891596,-1.10097787,-3.95538193,1.77219437,-0.29532133,-0.06120115,0.65553098,58.14446901,58.79999999
110,2.2,0.0,2.0,0.0,0.0,-1.99531675,2.13691189,-0.08955828,-1.29963785,-3.96119797,1.76902788,-0.2851908,-0.25525567,0.92178423,57.87821574,58.79999998
111,2.22,0.0,2.0,0.0,0.0,-1.99704862,2.10891566,-0.08226017,-1.500294,-3.96674086,1.76199225,-0.26780446,-0.44810483,1.265083,57.53491693,58.79999993
112,2.24,0.0,2.0,0.0,0.0,-1.9985476,2.07688858,-0.06600314,-1.7026786,-3.97185257,1.75111224,-0.24175181,-0.63966876,1.68554544,57.1144544,58.79999984
113,2.26,0.0,2.0,0.0,0.0,-1.99962081,2.04080052,-0.03948968,-1.90626941,-3.9763438,1.73641429,-0.20554221,-0.82990184,2.18320358,56.61679611,58.79999969
114,2.28,0.0,2.0,0.0,0.0,-2.00004925,2.000635,-0.00131136,-2.11025483,-3.97999496,1.71792526,-0.15749065,-1.01878292,2.75794956,56.04204991,58.79999947
115,2.3,0.0,2.0,0.0,0.0,-1.99958788,1.95639581,0.04973415,-2.31340872,-3.98255562,1.69567142,-0.09618928,-1.20638934,3.40948051,55.39051863,58.79999914
116,2.32,0.0,2.0,0.0,0.0,-1.99796642,1.90811472,0.11483782,-2.51413368,-3.98374492,1.66967733,-0.02020464,-1.39284605,4.13724212,54.66275658,58.7999987
117,2.34,0.0,2.0,0.0,0.0,-1.99489366,1.85585993,0.19503374,-2.71041062,-3.98325738,1.63996396,0.07170417,-1.57835376,4.94035299,53.85964514,58.79999813
118,2.36,0.0,2.0,0.0,0.0,-1.99006079,1.79974378,0.29094964,-2.89983697,-3.98076681,1.60654744,0.18020926,-1.76321428,5.81755306,52.98244435,58.79999741
119,2.38,0.0,2.0,0.0,0.0,-1.98314799,1.73992999,0.4030156,-3.07970597,-3.97593525,1.56943747,0.30575271,-1.94776891,6.76714942,52.03284713,58.79999656
120,2.4,0.0,2.0,0.0,0.0,-1.97383325,1.67663827,0.53113312,-3.24713439,-3.96842519,1.52863604,0.44803032,-2.1324222,7.78696987,51.0130257,58.79999557
121,2.42,0.0,2.0,0.0,0.0,-1.96180009,1.61014632,0.67469911,-3.39926467,-3.95790965,1.48413711,0.60605067,-2.31759049,8.87437111,49.92562336,58.79999447
122,2.44,0.0,2.0,0.0,0.0,-1.94674852,1.54078763,0.83275358,-3.53339173,-3.94408726,1.43592654,0.77839283,-2.50364618,10.02623762,48.77375568,58.7999933
123,2.46,0.0,2.0,0.0,0.0,-1.92840397,1.46894538,1.00375079,-3.64726007,-3.9266936,1.38398323,0.96284897,-2.69090374,11.23903138,47.56096071,58.79999209
124,2.48,0.0,2.0,0.0,0.0,-1.90652457,1.39504367,1.18587035,-3.73912013,-3.90550911,1.32828107,1.15697735,-2.87955714,12.50887685,46.29111403,58.79999088
125,2.5,0.0,2.0,0.0,0.0,-1.8809083,1.31953526,1.37708939,-3.80777755,-3.88036646,1.26879125,1.35825126,-3.0696663,13.83162138,44.96836831,58.7999897
126,2.52,0.0,2.0,0.0,0.0,-1.85139583,1.24289006,1.57513954,-3.85272872,-3.85114973,1.20548518,1.56401773,-3.26115796,15.20294293,43.59704564,58.79998857
127,2.54,0.0,2.0,0.0,0.0,-1.81787205,1.16558428,1.77780871,-3.87390518,-3.81779072,1.13833709,1.77206633,-3.45382513,16.61843613,42.18155138,58.7999875
128,2.56,0.0,2.0,0.0,0.0,-1.780267,1.0880904,1.98291106,-3.87160834,-3.78026331,1.06732642,1.98061261,-3.6473558,18.07365905,40.72632745,58.7999865
129,2.58,0.0,2.0,0.0,0.0,-1.73855445,1.0108712,2.1882222,-3.84652072,-3.73857299,0.9924397,2.18822303,-3.84135917,19.56419915,39.23578641,58.79998556
130,2.6,0.0,2.0,0.0,0.0,-1.69275105,0.93437575,2.39161172,-3.79941585,-3.69274636,0.91367189,2.39409724,-4.03538639,21.08570618,37.7142785,58.79998468
131,2.62,0.0,2.0,0.0,0.0,-1.64291642,0.85903629,2.59097879,-3.73108738,-3.64282171,0.83102734,2.597998,-4.22894827,22.63389059,36.16609324,58.79998383
132,2.64,0.0,2.0,0.0,0.0,-1.58915316,0.78526733,2.78413146,-3.642462,-3.58883871,0.74452052,2.80005141,-4.42152288,24.20453495,34.59544807,58.79998302
133,2.66,0.0,2.0,0.0,0.0,-1.53160778,0.7134656,2.96880858,-3.53451518,-3.53082913,0.65417668,3.00079177,-4.61255167,25.79350303,33.00647919,58.79998222
134,2.68,0.0,2.0,0.0,0.0,-1.47047273,0.64400883,3.14267373,-3.40819358,-3.46880947,0.56003278,3.2011914,-4.80142221,27.39673163,31.40324982,58.79998144
135,2.7,0.0,2.0,0.0,0.0,-1.40598886,0.57725401,3.30326187,-3.26452812,-3.40277466,0.46213875,3.40252662,-4.98744248,29.01022637,29.7897543,58.79998067
136,2.72,0.0,2.0,0.0,0.0,-1.33844778,0.51353519,3.44796295,-3.10476125,-3.33269212,0.36055936,3.6062759,-5.16980906,30.63007125,28.16990865,58.7999799
137,2.74,0.0,2.0,0.0,0.0,-1.2681942,0.45316022,3.57405793,-2.9303647,-3.25849694,0.25537697,3.81412017,-5.34756415,32.25244116,26.54753796,58.79997912
138,2.76,0.0,2.0,0.0,0.0,-1.19562776,0.39640594,3.67877465,-2.74302862,-3.18008816,0.14669511,4.02793971,-5.51954094,33.8736097,24.92636861,58.79997831
139,2.78,0.0,2.0,0.0,0.0,-1.1212039,0.34351237,3.75932859,-2.54471104,-3.09732598,0.03464326,4.24976628,-5.68430194,35.48995387,23.31002358,58.79997745
140,2.8,0.0,2.0,0.0,0.0,-1.04543338,0.29467631,3.81299415,-2.33770561,-3.01002967,-0.0806172,4.48169913,-5.84007648,37.0979561,21.70202042,58.79997652
141,2.82,0.0,2.0,0.0,0.0,-0.96888015,0.2500449,3.83718723,-2.12466966,-2.91797641,-0.19888564,4.72584591,-5.98469298,38.69419829,20.10577719,58.79997548
142,2.84,0.0,2.0,0.0,0.0,-0.8921575,0.20970942,3.82956886,-1.90857887,-2.82090113,-0.31991331,4.98427797,-6.1155032,40.2753386,18.52463565,58.79997426
143,2.86,0.0,2.0,0.0,0.0,-0.81592229,0.17369978,3.78813924,-1.69263757,-2.71849762,-0.44339291,5.25899227,-6.22929402,41.83806228,16.96191051,58.79997279
144,2.88,0.0,2.0,0.0,0.0,-0.74086734,0.14198036,3.71132243,-1.4801768,-2.61042095,-0.56894635,5.55185577,-6.32218768,43.37899853,15.42097246,58.79997099
145,2.9,0.0,2.0,0.0,0.0,-0.66771205,0.11444784,3.59804824,-1.2745538,-2.49629122,-0.69611056,5.86452331,-6.38953221,44.89459699,13.90537174,58.79996873
