,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,xPosition4,yPosition4,xVelocity4,yVelocity4,xPosition5,yPosition5,xVelocity5,yVelocity5,xPosition6,yPosition6,xVelocity6,yVelocity6,xPosition7,yPosition7,xVelocity7,yVelocity7,KineticEnergy,Potential,Energy
42,0.84,0.0,4.0,0.0,0.0,0.52026536,3.13688944,-0.8192333,-0.53190832,1.12019475,2.32818996,-1.53281757,-1.09963603,1.75582352,1.54833784,-2.71829049,-2.10016282,2.59050606,0.98810939,-4.62093105,-4.97576641,3.57671402,0.80065501,-4.98307675,-6.97835916,4.57889985,0.77408385,-4.98209373,-7.39241089,5.58016192,0.77245252,-4.97607468,-7.42507344,147.65721151,141.59889584,289.25610735
43,0.86,0.0,4.0,0.0,0.0,0.50418033,3.12656901,-0.78758892,-0.49813033,1.08899427,2.30603776,-1.58970146,-1.11394113,1.70263679,1.50802609,-2.60262848,-1.93238394,2.49729791,0.89153542,-4.69496851,-4.67174664,3.47473709,0.66094297,-5.21876855,-6.98704412,4.47689332,0.62481602,-5.2240063,-7.5350315,5.47829185,0.6223884,-5.21664781,-7.58303823,151.92466486,135.83467563,287.75934049
44,0.88,0.0,4.0,0.0,0.0,0.48883248,3.11704038,-0.74603912,-0.45338787,1.05655471,2.28373304,-1.65548261,-1.11401302,1.65162462,1.47100764,-2.50305608,-1.77149813,2.40301235,0.80168988,-4.72670017,-4.30397691,3.36787947,0.52154723,-5.47084479,-6.94478324,4.36979059,0.47277747,-5.49207685,-7.66902823,5.37133424,0.46917643,-5.485224,-7.73986953,156.07175573,130.14873327,286.220489
45,0.9,0.0,4.0,0.0,0.0,0.47437516,3.10847378,-0.69967692,-0.40298533,1.02278292,2.26160567,-1.72128139,-1.09565504,1.60233019,1.437088,-2.43301366,-1.62373485,2.30860506,0.71973247,-4.70573499,-3.88634913,3.25585087,0.38359498,-5.73473952,-6.84120013,4.25706832,0.3181716,-5.78547161,-7.79122493,5.2587322,0.31284113,-5.78043216,-7.89537284,160.11668438,124.52399054,284.64067492
46,0.92,0.0,4.0,0.0,0.0,0.4608275,3.10091562,-0.65656858,-0.35365262,0.98777851,2.24005063,-1.77710833,-1.05664416,1.55404745,1.40592703,-2.4030977,-1.4969187,2.21519499,0.64641003,-4.62658,-3.44569163,3.13850316,0.24838695,-6.00081325,-6.66955312,4.13826454,0.16127003,-6.09931974,-7.897973,5.14000733,0.1534116,-6.09646988,-8.04927702,164.07731197,118.94351505,283.02082702
47,0.94,0.0,4.0,0.0,0.0,0.4480356,3.09427993,-0.62538322,-0.31178681,0.951836,2.21947076,-1.81368591,-0.99896334,1.50593276,1.3770295,-2.41579659,-1.39848675,2.12394362,0.58185167,-4.49076476,-3.0155413,3.01592434,0.11731689,-6.2553725,-6.42724579,4.01302803,0.00242291,-6.42796126,-7.98502701,5.01480637,-0.0090766,-6.42727346,-8.20120529,167.95806182,113.40368984,281.36175165
48,0.96,0.0,4.0,0.0,0.0,0.43569757,3.08835471,-0.61177041,-0.28349438,0.91541481,2.20016979,-1.82415402,-0.93046322,1.45718757,1.34977046,-2.46440594,-1.3336168,2.03589989,0.52552163,-4.3081624,-2.62746494,2.88850398,-0.00820903,-6.48215655,-6.11565076,3.88110885,-0.15792613,-6.76708632,-8.04722805,4.88287476,-0.17457897,-6.76925099,-8.35062417,171.74507748,107.91922156,279.66429904
49,0.98,0.0,4.0,0.0,0.0,0.42343896,3.08282864,-0.61742458,-0.2720347,0.87906826,2.18225723,-1.80635991,-0.86179519,1.40721256,1.32346069,-2.53651689,-1.30322957,1.95183024,0.47633223,-4.09695977,-2.30422501,2.75696983,-0.12685578,-6.663963,-5.74064921,3.74232812,-0.31921938,-7.11379869,-8.0783237,4.74400528,-0.3430382,-7.12100382,-8.49678318,175.41031112,102.51922053,277.92953165
50,1.0,0.0,4.0,0.0,0.0,0.41088575,3.07736899,-0.6407447,-0.27635763,0.84333527,2.16564887,-1.76374028,-0.80099475,1.35566945,1.29745383,-2.61927539,-1.3017929,1.87207109,0.43286303,-3.88144387,-2.05585634,2.62238495,-0.23745655,-6.78479998,-5.31317201,3.59655635,-0.48076345,-7.46596099,-8.07098702,4.59800907,-0.51437938,-7.48200472,-8.63865344,178.91908009,97.23974957,276.15882965
51,1.02,0.0,4.0,0.0,0.0,0.39771943,3.07169885,-0.6780174,-0.29218939,0.80864658,2.15014649,-1.70324443,-0.75131813,1.30245258,1.2712799,-2.70243269,-1.31763984,1.79644783,0.39363299,-3.68743862,-1.87864142,2.48610267,-0.33910191,-6.83193077,-4.84744443,3.44369993,-0.64170458,-7.82227273,-8.01632647,4.44469428,-0.68850322,-7.85340271,-8.77479642,182.2359199,92.11800665,274.35392655
52,1.04,0.0,4.0,0.0,0.0,0.38370636,3.0656452,-0.72461199,-0.31369136,0.77527818,2.13553221,-1.63310897,-0.71173745,1.24763472,1.24473794,-2.77825609,-1.33600186,1.72430105,0.35734225,-3.5370196,-1.75910626,2.34969367,-0.43117025,-6.79617443,-4.3576685,3.28367536,-0.80098227,-8.18293358,-7.90223245,4.2838099,-0.86527513,-8.24036686,-8.90304177,185.32819516,87.18870418,272.51689934
53,1.06,0.0,4.0,0.0,0.0,0.36871038,3.05915519,-0.77543756,-0.33481644,0.7433363,2.12163752,-1.56213382,-0.67857295,1.19142702,1.21793423,-2.84043428,-1.34118356,1.65458049,0.32301291,-3.44723105,-1.67938715,2.2148795,-0.51332029,-6.67194903,-3.85795711,3.11639871,-0.95725139,-8.54718451,-7.71240766,4.11495537,-1.04450563,-8.6521619,-9.01999378,188.16961868,82.48050654,270.65012523
54,1.08,0.0,4.0,0.0,0.0,0.35270057,3.05229864,-0.82506889,-0.349248,0.71273874,2.10838542,-1.50053473,-0.6464775,1.13416188,1.19128563,-2.88301001,-1.3181575,1.58594521,0.29002837,-3.42996662,-1.62187501,2.08343079,-0.58551173,-6.46057278,-3.36480775,2.94184026,-1.10881271,-8.90968639,-7.42829357,3.9375435,-1.22592216,-9.09745025,-9.1206931,190.74515919,78.01103736,268.75619655
55,1.1,0.0,4.0,0.0,0.0,0.33575874,3.04527422,-0.86761281,-0.35063855,0.68318173,2.0958127,-1.46005623,-0.60982628,1.07629104,1.1654782,-2.90001944,-1.25583625,1.51688525,0.25809026,-3.48956063,-1.57301344,1.95699685,-0.64807779,-6.17319381,-2.89909639,2.76015763,-1.25360388,-9.25655234,-7.03272027,3.75083531,-1.40913376,-9.58296661,-9.19813414,193.05645599,73.7813246,266.83778059
56,1.12,0.0,4.0,0.0,0.0,0.31808987,3.03838898,-0.89670935,-0.33509193,0.65413338,2.08404093,-1.45099063,-0.5666372,1.01838394,1.14132665,-2.88575908,-1.15373788,1.4459136,0.22710188,-3.61891769,-1.52646335,1.83689,-0.70179214,-5.83271062,-2.48298041,2.5718835,-1.38926053,-9.56411771,-6.51325253,3.55396223,-1.59358134,-10.11522822,-9.24230961,195.12341898,69.77401816,264.89743714
57,1.14,0.0,4.0,0.0,0.0,0.30002393,3.03197015,-0.90648941,-0.3050715,0.62491275,2.07315512,-1.4772011,-0.52289546,0.96110739,1.11950335,-2.8367828,-1.02664145,1.37180754,0.19702292,-3.79895794,-1.48248919,1.72383598,-0.74782975,-5.47478041,-2.13349844,2.37812253,-1.51325302,-9.79893904,-5.8667193,3.34591554,-1.77846375,-10.70185596,-9.23871463,196.97386309,65.96360839,262.93747148
