,Time,xPosition0,yPosition0,xVelocity0,yVelocity0,xPosition1,yPosition1,xVelocity1,yVelocity1,xPosition2,yPosition2,xVelocity2,yVelocity2,xPosition3,yPosition3,xVelocity3,yVelocity3,KineticEnergy,Potential,Energy
89,1.78,4.78187502,-1.39351857,-1.51428853,-2.69555577,-1.39351857,-4.78187502,-2.69555577,1.51428853,-4.78187502,1.39351857,1.51428853,2.69555577,1.39351857,4.78187502,2.69555577,-1.51428853,19.11818135,41.77503492,60.89321626
90,1.8,4.74882719,-1.44661271,-1.78979753,-2.6134571,-1.44661271,-4.74882719,-2.6134571,1.78979753,-4.74882719,1.44661271,1.78979753,2.6134571,1.44661271,4.74882719,2.6134571,-1.78979753,20.06706641,40.8261477,60.89321411
91,1.82,4.71031404,-1.4980421,-2.06065785,-2.52914088,-1.4980421,-4.71031404,-2.52914088,2.06065785,-4.71031404,1.4980421,2.06065785,2.52914088,1.4980421,4.71031404,2.52914088,-2.06065785,21.28572871,39.60748263,60.89321134
92,1.84,4.66643818,-1.54776611,-2.32590964,-2.44298444,-1.54776611,-4.66643818,-2.44298444,2.32590964,-4.66643818,1.54776611,2.32590964,2.44298444,1.54776611,4.66643818,2.44298444,-2.32590964,22.75605733,38.1371507,60.89320802
93,1.86,4.61732114,-1.59575189,-2.58462363,-2.35538781,-1.59575189,-4.61732114,-2.35538781,2.58462363,-4.61732114,1.59575189,2.58462363,2.35538781,1.59575189,4.61732114,2.35538781,-2.58462363,24.45626212,36.43694208,60.8932042
94,1.88,4.56310267,-1.64197484,-2.8359058,-2.26677215,-1.64197484,-4.56310267,-2.26677215,2.8359058,-4.56310267,1.64197484,2.8359058,2.26677215,1.64197484,4.56310267,2.26677215,-2.8359058,26.36123534,34.53196461,60.89319995
95,1.9,4.50394002,-1.68641893,-3.07890207,-2.17757812,-1.68641893,-4.50394002,-2.17757812,3.07890207,-4.50394002,1.68641893,3.07890207,2.17757812,1.68641893,4.50394002,2.17757812,-3.07890207,28.44296894,32.45022639,60.89319533
96,1.92,4.44000708,-1.72907716,-3.31280287,-2.08826429,-1.72907716,-4.44000708,-2.08826429,3.31280287,-4.44000708,1.72907716,3.31280287,2.08826429,1.72907716,4.44000708,2.08826429,-3.31280287,30.67102117,30.22216927,60.89319043
97,1.94,4.37149346,-1.76995186,-3.53684756,-1.99930531,-1.76995186,-4.37149346,-1.99930531,3.53684756,-4.37149346,1.76995186,3.53684756,1.99930531,1.76995186,4.37149346,1.99930531,-3.53684756,33.01302482,27.88016052,60.89318535
98,1.96,4.29860344,-1.80905498,-3.75032887,-1.91119022,-1.80905498,-4.29860344,-1.91119022,3.75032887,-4.29860344,1.80905498,3.75032887,1.91119022,1.80905498,4.29860344,1.91119022,-3.75032887,35.43522944,25.45795071,60.89318015
99,1.98,4.22155489,-1.84640841,-3.95259712,-1.82442054,-1.84640841,-4.22155489,-1.82442054,3.95259712,-4.22155489,1.84640841,3.95259712,1.82442054,1.84640841,4.22155489,1.82442054,-3.95259712,37.90306857,22.99010637,60.89317495
100,2.0,4.14057805,-1.88204415,-4.14306438,-1.7395083,-1.88204415,-4.14057805,-1.7395083,4.14306438,-4.14057805,1.88204415,4.14306438,1.7395083,1.88204415,4.14057805,1.7395083,-4.14306438,40.38174324,20.51142659,60.89316983
101,2.02,4.05591427,-1.91600456,-4.32120851,-1.65697407,-1.91600456,-4.05591427,-1.65697407,4.32120851,-4.05591427,1.91600456,4.32120851,1.65697407,1.91600456,4.05591427,1.65697407,-4.32120851,42.83681222,18.05635267,60.89316489
102,2.04,3.96781468,-1.94834243,-4.48657703,-1.57734473,-1.94834243,-3.96781468,-1.57734473,4.48657703,-3.96781468,1.94834243,4.48657703,1.57734473,1.94834243,3.96781468,1.57734473,-4.48657703,45.23477968,15.65838053,60.89316021
103,2.06,3.87653869,-1.97912119,-4.63879082,-1.50115122,-1.97912119,-3.87653869,-1.50115122,4.63879082,-3.87653869,1.97912119,4.63879082,1.50115122,1.97912119,3.87653869,1.50115122,-4.63879082,47.54367058,13.34948532,60.8931559
